pygaze initiation report start
display resolution: 1024x768
display size in cm: 39.9x29.9
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 56 Hz
sampletime: 17.72985773195844 ms
accuracy (in pixels): LX=362.89486532137846, LY=275.3425820838597, RX=363.7229047104141, RY=272.0753841903368
precision (RMS noise in pixels): X=3.311510485400168, Y=4.7621388158783144
distance between participant and display: 60.0 cm
fixation threshold: 40.33923866687572 pixels
speed threshold: 0.9410339688426443 pixels/ms
accuracy threshold: 257.7901804615643 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
303.085		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
330.733		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
359.511		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
389.626		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
405.858		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
422.797		569.0	390.0	1	568.0	384.0	1	568	387	3.3982	1	3.3966	1
440.213		564.0	392.0	1	569.0	387.0	1	566	389	3.4196	1	3.4321	1
456.656		559.0	396.0	1	567.0	396.0	1	563	396	3.3944	1	3.4075	1
473.493		559.0	406.0	1	566.0	393.0	1	562	399	3.3852	1	3.3932	1
490.229		560.0	410.0	1	562.0	396.0	1	561	403	3.3875	1	3.3919	1
506.634		563.0	405.0	1	561.0	398.0	1	562	401	3.38	1	3.3914	1
523.372		561.0	408.0	1	560.0	399.0	1	560	403	3.3835	1	3.4021	1
540.129		563.0	411.0	1	562.0	400.0	1	562	405	3.3907	1	3.4027	1
556.681		564.0	410.0	1	565.0	398.0	1	564	404	3.3966	1	3.4204	1
573.833		564.0	411.0	1	566.0	398.0	1	565	404	3.3941	1	3.4315	1
589.923		564.0	411.0	1	567.0	397.0	1	566	404	3.4041	1	3.4267	1
606.742		543.0	404.0	1	549.0	394.0	1	546	399	3.4171	1	3.4338	1
623.093		490.0	391.0	1	482.0	382.0	1	486	386	3.4155	1	3.4582	1
640.177		477.0	389.0	1	469.0	377.0	1	473	383	3.4202	1	3.465	1
656.384		479.0	388.0	1	478.0	384.0	1	478	386	3.4181	1	3.444	1
673.54		472.0	388.0	1	483.0	389.0	1	478	388	3.4113	1	3.4404	1
689.894		472.0	391.0	1	479.0	390.0	1	476	390	3.4145	1	3.4495	1
706.801		476.0	392.0	1	477.0	393.0	1	476	392	3.4268	1	3.4474	1
722.918		483.0	391.0	1	482.0	390.0	1	482	390	3.4308	1	3.4437	1
740.128		490.0	396.0	1	476.0	385.0	1	483	390	3.4326	1	3.429	1
756.313		494.0	454.0	1	465.0	415.0	1	480	434	3.3186	1	3.3608	1
772.128		487.0	491.0	1	463.0	439.0	1	475	465	3.1905	1	3.2792	1
787.786		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
804.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
821.292		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
838.999		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
854.873		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
873.624		389.0	499.0	1	486.0	457.0	1	438	478	3.0596	1	3.3482	1
889.792		278.0	554.0	1	486.0	432.0	1	382	493	2.6012	1	3.376	1
906.676		359.0	518.0	1	500.0	364.0	1	430	441	2.8667	1	3.5301	1
923.249		478.0	482.0	1	502.0	415.0	1	490	448	3.2526	1	3.4276	1
940.237		448.0	511.0	1	492.0	431.0	1	470	471	3.0923	1	3.4482	1
956.451		475.0	428.0	1	484.0	388.0	1	480	408	3.3029	1	3.4991	1
973.466		485.0	407.0	1	489.0	407.0	1	487	407	3.4039	1	3.4584	1
989.92		490.0	380.0	1	489.0	416.0	1	490	398	3.452	1	3.4543	1
1011.74		487.0	387.0	1	485.0	407.0	1	486	397	3.4292	1	3.4622	1
1028.611		484.0	395.0	1	485.0	406.0	1	484	400	3.4375	1	3.4701	1
1044.581		486.0	398.0	1	489.0	398.0	1	488	398	3.4183	1	3.4534	1
1061.663		481.0	396.0	1	496.0	396.0	1	488	396	3.4132	1	3.4612	1
1078.659		480.0	406.0	1	489.0	404.0	1	484	405	3.4252	1	3.4666	1
1094.666		485.0	412.0	1	487.0	402.0	1	486	407	3.4331	1	3.4639	1
1111.618		506.0	407.0	1	514.0	396.0	1	510	401	3.428	1	3.4668	1
1127.166		530.0	405.0	1	541.0	393.0	1	536	399	3.4316	1	3.4662	1
1144.62		540.0	410.0	1	539.0	392.0	1	540	401	3.4534	1	3.4532	1
1161.18		541.0	412.0	1	541.0	392.0	1	541	402	3.446	1	3.4508	1
1178.151		530.0	402.0	1	544.0	398.0	1	537	400	3.4149	1	3.45	1
1194.575		530.0	404.0	1	545.0	402.0	1	538	403	3.4058	1	3.4428	1
1221.091		540.0	413.0	1	545.0	400.0	1	542	406	3.4049	1	3.4355	1
1231.746		541.0	411.0	1	547.0	402.0	1	544	406	3.3927	1	3.4444	1
1244.564		533.0	416.0	1	550.0	406.0	1	542	411	3.3943	1	3.4454	1
1261.046		529.0	413.0	1	548.0	404.0	1	538	408	3.3811	1	3.4203	1
1278.096		532.0	409.0	1	547.0	405.0	1	540	407	3.365	1	3.4257	1
1294.58		535.0	410.0	1	552.0	407.0	1	544	408	3.3627	1	3.4204	1
1311.539		530.0	402.0	1	549.0	402.0	1	540	402	3.3383	1	3.3979	1
1327.482		528.0	401.0	1	546.0	401.0	1	537	401	3.3278	1	3.3904	1
1345.019		501.0	418.0	1	513.0	399.0	1	507	408	3.3499	1	3.3826	1
1356.156		450.0	417.0	1	450.0	384.0	1	450	400	3.3518	1	3.3868	1
1378.59		419.0	410.0	1	435.0	376.0	1	427	393	3.3338	1	3.3886	1
1394.493		423.0	411.0	1	443.0	382.0	1	433	396	3.3092	1	3.3726	1
1410.982		426.0	410.0	1	442.0	384.0	1	434	397	3.2938	1	3.3688	1
1427.078		424.0	415.0	1	437.0	387.0	1	430	401	3.2912	1	3.3489	1
1444.138		424.0	406.0	1	441.0	389.0	1	432	397	3.274	1	3.3401	1
1460.591		422.0	406.0	1	436.0	382.0	1	429	394	3.2653	1	3.3285	1
1477.522		416.0	404.0	1	432.0	379.0	1	424	391	3.2489	1	3.3069	1
1493.559		417.0	403.0	1	435.0	381.0	1	426	392	3.2396	1	3.2947	1
1511.545		424.0	409.0	1	441.0	388.0	1	432	398	3.2447	1	3.3001	1
1528.206		424.0	411.0	1	443.0	390.0	1	434	400	3.2343	1	3.2992	1
1544.107		419.0	412.0	1	436.0	382.0	1	428	397	3.2138	1	3.2743	1
1560.12		422.0	409.0	1	441.0	385.0	1	432	397	3.2135	1	3.2583	1
1578.095		444.0	416.0	1	442.0	385.0	1	443	400	3.2478	1	3.2559	1
1593.63		443.0	419.0	1	436.0	378.0	1	440	398	3.2518	1	3.2547	1
1611.124		467.0	420.0	1	478.0	390.0	1	472	405	3.2179	1	3.2861	1
1627.662		510.0	428.0	1	542.0	405.0	1	526	416	3.2175	1	3.2867	1
1644.079		532.0	428.0	1	549.0	411.0	1	540	419	3.226	1	3.2496	1
1660.59		537.0	426.0	1	553.0	408.0	1	545	417	3.2328	1	3.2595	1
1678.239		530.0	420.0	1	548.0	397.0	1	539	408	3.221	1	3.2732	1
